,Date,Adj Close,Volume
0,2021-03-04,9.949999809265137,9724200
1,2021-03-05,9.989999771118164,3507900
2,2021-03-08,10.029999732971191,1195800
3,2021-03-09,10.010000228881836,1469500
4,2021-03-10,10.039999961853027,97400
5,2021-03-11,10.029999732971191,76100
6,2021-03-12,10.020000457763672,687100
7,2021-03-15,9.979999542236328,465600
8,2021-03-16,9.979999542236328,269400
9,2021-03-17,9.960000038146973,541500
10,2021-03-18,9.949999809265137,392200
11,2021-03-19,9.9399995803833,20700
12,2021-03-22,9.930000305175781,26600
13,2021-03-23,9.920000076293945,354300
14,2021-03-24,9.85099983215332,224000
15,2021-03-25,9.84000015258789,154800
16,2021-03-26,9.920000076293945,165700
17,2021-03-29,9.9399995803833,14500
18,2021-03-30,9.899999618530273,79600
19,2021-03-31,9.850000381469727,102500
20,2021-04-01,9.949999809265137,159000
21,2021-04-05,9.949999809265137,92500
22,2021-04-06,9.970000267028809,280200
23,2021-04-07,9.949999809265137,65300
24,2021-04-08,9.970000267028809,202400
25,2021-04-09,10.029999732971191,59600
26,2021-04-12,9.960000038146973,556000
27,2021-04-13,9.979999542236328,24600
28,2021-04-14,10.029999732971191,39600
29,2021-04-15,9.979999542236328,291500
30,2021-04-16,9.9399995803833,505800
31,2021-04-19,9.90999984741211,4915000
32,2021-04-20,9.930000305175781,6700
33,2021-04-21,9.932999610900879,6900
34,2021-04-22,9.949999809265137,132700
35,2021-04-23,9.930000305175781,85600
36,2021-04-26,9.899999618530273,363600
37,2021-04-27,9.9399995803833,12100
38,2021-04-28,9.9399995803833,16700
39,2021-04-29,9.899999618530273,35400
40,2021-04-30,9.930000305175781,5500
41,2021-05-03,9.9399995803833,170800
42,2021-05-04,9.9399995803833,4400
43,2021-05-05,9.9399995803833,1000
44,2021-05-06,9.9399995803833,5800
45,2021-05-07,9.920000076293945,16200
46,2021-05-10,9.930000305175781,21300
47,2021-05-11,9.930000305175781,66400
48,2021-05-12,9.920000076293945,32900
49,2021-05-13,9.930000305175781,91500
50,2021-05-14,9.930000305175781,0
51,2021-05-17,9.930000305175781,11100
52,2021-05-18,9.920000076293945,2000
53,2021-05-19,9.9399995803833,1100
54,2021-05-20,9.890000343322754,35400
55,2021-05-21,9.899999618530273,27900
56,2021-05-24,9.869999885559082,37700
57,2021-05-25,9.890000343322754,110900
58,2021-05-26,9.899999618530273,46300
59,2021-05-27,9.890000343322754,25300
60,2021-05-28,9.899999618530273,85600
61,2021-06-01,9.970000267028809,109600
62,2021-06-02,9.970000267028809,0
63,2021-06-03,9.90999984741211,1300
64,2021-06-04,9.9399995803833,22200
65,2021-06-07,9.920000076293945,26900
66,2021-06-08,9.949999809265137,4200
67,2021-06-09,9.9399995803833,19800
