,Date,Adj Close,Volume
238,1995-02-13,21.5,400
239,1995-02-14,23.0,150
240,1995-02-15,23.0,325
241,1995-02-16,23.0,0
242,1995-02-17,23.0,0
243,1995-02-21,23.0,0
244,1995-02-22,23.0,125
245,1995-02-23,23.0,125
246,1995-02-24,23.0,0
247,1995-02-27,22.0,125
248,1995-02-28,22.0,275
249,1995-03-01,22.0,0
250,1995-03-02,22.0,100
251,1995-03-03,22.0,725
252,1995-03-06,23.0,250
253,1995-03-07,22.0,1200
254,1995-03-08,21.5,2050
255,1995-03-09,21.5,0
256,1995-03-10,21.5,0
257,1995-03-13,21.5,2250
258,1995-03-14,21.5,0
259,1995-03-15,21.0,75
260,1995-03-16,21.0,0
261,1995-03-17,21.0,0
262,1995-03-20,21.0,50
263,1995-03-21,21.0,150
264,1995-03-22,21.0,375
265,1995-03-23,21.0,75
266,1995-03-24,22.0,525
267,1995-03-27,21.0,575
268,1995-03-28,21.25,625
269,1995-03-29,20.5,675
270,1995-03-30,20.5,125
271,1995-03-31,20.75,150
272,1995-04-03,20.5,750
273,1995-04-04,20.5,300
274,1995-04-05,20.5,0
275,1995-04-06,20.5,975
276,1995-04-07,20.5,500
277,1995-04-10,20.5,875
278,1995-04-11,23.0,75
279,1995-04-12,23.0,25
280,1995-04-13,20.5,3025
281,1995-04-17,20.5,275
282,1995-04-18,20.5,400
283,1995-04-19,20.5,100
284,1995-04-20,20.75,125
285,1995-04-21,20.5,1525
286,1995-04-24,20.5,475
287,1995-04-25,20.5,50
288,1995-04-26,20.5,25
289,1995-04-27,20.5,475
290,1995-04-28,20.5,75
291,1995-05-01,21.5,150
292,1995-05-02,21.5,0
293,1995-05-03,20.5,125
294,1995-05-04,21.5,500
295,1995-05-05,20.5,125
296,1995-05-08,20.75,400
297,1995-05-09,21.0,925
298,1995-05-10,20.75,475
299,1995-05-11,20.5,25
300,1995-05-12,21.5,125
301,1995-05-15,20.5,6725
302,1995-05-16,24.0,5675
303,1995-05-17,24.5,550
304,1995-05-18,24.5,950
305,1995-05-19,24.5,175
306,1995-05-22,24.5,0
307,1995-05-23,24.5,0
308,1995-05-24,24.5,0
309,1995-05-25,24.5,0
310,1995-05-26,24.0,250
311,1995-05-30,24.0,0
312,1995-05-31,26.0,1250
313,1995-06-01,26.0,75
314,1995-06-02,27.0,1000
315,1995-06-05,26.0,1750
316,1995-06-06,28.0,2150
317,1995-06-07,28.0,1425
318,1995-06-08,29.5,950
319,1995-06-09,28.0,500
320,1995-06-12,28.0,1600
321,1995-06-13,28.0,125
322,1995-06-14,28.0,200
323,1995-06-15,28.0,800
324,1995-06-16,28.0,0
325,1995-06-19,28.0,200
326,1995-06-20,28.0,2050
327,1995-06-21,28.0,0
328,1995-06-22,28.0,300
329,1995-06-23,28.0,2125
330,1995-06-26,28.0,275
331,1995-06-27,29.5,1450
332,1995-06-28,28.125,475
333,1995-06-29,28.125,0
334,1995-06-30,28.0,125
335,1995-07-03,28.0,0
336,1995-07-05,28.0,25
337,1995-07-06,28.0,0
338,1995-07-07,28.0,125
339,1995-07-10,28.0,50
340,1995-07-11,28.0,750
341,1995-07-12,28.0,25
342,1995-07-13,28.0,1175
343,1995-07-14,28.0,175
344,1995-07-17,28.0,800
345,1995-07-18,28.0,725
346,1995-07-19,28.0,1925
347,1995-07-20,28.0,750
348,1995-07-21,28.0,50
349,1995-07-24,28.0,2675
350,1995-07-25,28.0,2575
351,1995-07-26,27.0,2750
352,1995-07-27,27.0,1700
353,1995-07-28,27.0,0
354,1995-07-31,27.0,1150
355,1995-08-01,28.25,500
356,1995-08-02,27.0,3075
357,1995-08-03,27.0,450
358,1995-08-04,27.0,0
359,1995-08-07,27.0,2125
360,1995-08-08,29.25,2975
361,1995-08-09,27.0,575
362,1995-08-10,30.0,14925
363,1995-08-11,29.5,1150
364,1995-08-14,29.5,0
365,1995-08-15,29.5,14825
366,1995-08-16,28.0,250
367,1995-08-17,30.0,7275
368,1995-08-18,28.0,9575
369,1995-08-21,27.0,5500
370,1995-08-22,28.0,50
371,1995-08-23,25.0,700
372,1995-08-24,25.0,125
373,1995-08-25,25.0,600
374,1995-08-28,25.0,125
375,1995-08-29,25.25,2200
376,1995-08-30,25.25,0
377,1995-08-31,27.0,550
378,1995-09-01,26.0,125
379,1995-09-05,26.0,0
380,1995-09-06,26.0,5075
381,1995-09-07,26.0,1575
382,1995-09-08,26.0,0
383,1995-09-11,26.0,0
384,1995-09-12,28.5,150
385,1995-09-13,26.25,650
386,1995-09-14,28.5,4125
387,1995-09-15,28.5,0
388,1995-09-18,28.5,0
389,1995-09-19,28.5,500
390,1995-09-20,28.5,2025
391,1995-09-21,28.25,1625
392,1995-09-22,26.5,325
393,1995-09-25,29.0,350
394,1995-09-26,26.0,1175
395,1995-09-27,26.0,50
396,1995-09-28,26.0,100
397,1995-09-29,29.0,2150
398,1995-10-02,29.0,1625
399,1995-10-03,28.0,450
400,1995-10-04,28.0,0
401,1995-10-05,26.0,1650
402,1995-10-06,28.0,625
403,1995-10-09,26.5,850
404,1995-10-10,26.5,2175
405,1995-10-11,26.75,1850
406,1995-10-12,26.5,475
407,1995-10-13,26.75,800
408,1995-10-16,26.5,450
409,1995-10-17,26.5,0
410,1995-10-18,26.5,500
411,1995-10-19,26.75,500
412,1995-10-20,28.0,3575
413,1995-10-23,28.0,775
414,1995-10-24,26.5,2950
415,1995-10-25,28.5,300
416,1995-10-26,28.5,0
417,1995-10-27,26.5,125
418,1995-10-30,26.5,0
419,1995-10-31,26.5,250
420,1995-11-01,26.5,50
421,1995-11-02,26.5,0
422,1995-11-03,26.5,0
423,1995-11-06,26.5,0
424,1995-11-07,26.5,75
425,1995-11-08,26.5,0
426,1995-11-09,26.5,25
427,1995-11-10,26.5,250
428,1995-11-13,26.5,350
429,1995-11-14,26.5,1250
430,1995-11-15,26.5,775
431,1995-11-16,26.5,300
432,1995-11-17,26.5,375
433,1995-11-20,26.5,200
434,1995-11-21,26.5,475
435,1995-11-22,26.5,75
436,1995-11-24,26.5,0
437,1995-11-27,26.5,725
438,1995-11-28,26.5,75
439,1995-11-29,26.5,325
440,1995-11-30,26.5,175
441,1995-12-01,26.5,325
442,1995-12-04,26.5,675
443,1995-12-05,26.5,450
444,1995-12-06,29.5,350
445,1995-12-07,29.5,0
446,1995-12-08,26.5,200
447,1995-12-11,26.5,75
448,1995-12-12,26.5,0
449,1995-12-13,26.0,125
450,1995-12-14,25.5,700
451,1995-12-15,23.5,700
452,1995-12-18,22.5,1350
453,1995-12-19,22.25,4375
454,1995-12-20,22.0,2300
455,1995-12-21,22.0,450
456,1995-12-22,22.0,0
457,1995-12-26,25.5,250
458,1995-12-27,25.5,2500
459,1995-12-28,22.0,350
460,1995-12-29,22.0,150
461,1996-01-02,21.0,250
462,1996-01-03,22.25,1100
463,1996-01-04,22.0,325
464,1996-01-05,22.0,125
465,1996-01-08,22.0,125
466,1996-01-09,22.0,200
467,1996-01-10,22.0,1400
468,1996-01-11,28.5,54700
469,1996-01-12,28.5,14950
470,1996-01-15,28.5,5900
471,1996-01-16,31.0,9200
472,1996-01-17,29.0,650
473,1996-01-18,27.0,8900
474,1996-01-19,26.5,8950
475,1996-01-22,26.5,250
476,1996-01-23,26.5,0
477,1996-01-24,26.0,50
478,1996-01-25,26.0,0
479,1996-01-26,26.0,25
480,1996-01-29,26.0,550
481,1996-01-30,28.0,775
482,1996-01-31,27.5,900
483,1996-02-01,26.5,2875
484,1996-02-02,26.5,225
485,1996-02-05,26.0,50
486,1996-02-06,26.0,0
487,1996-02-07,29.0,675
488,1996-02-08,29.0,2475
489,1996-02-09,33.0,56800
490,1996-02-12,34.0,7375
491,1996-02-13,32.0,450
492,1996-02-14,32.0,875
493,1996-02-15,34.5,2250
494,1996-02-16,33.0,775
495,1996-02-20,32.0,250
496,1996-02-21,32.0,250
497,1996-02-22,32.0,1075
498,1996-02-23,34.0,1850
499,1996-02-26,36.0,8700
500,1996-02-27,34.0,17050
501,1996-02-28,34.0,425
502,1996-02-29,36.0,27175
503,1996-03-01,36.0,2425
504,1996-03-04,35.5,300
505,1996-03-05,35.0,1850
506,1996-03-06,35.0,450
507,1996-03-07,36.0,13050
508,1996-03-08,36.5,575
509,1996-03-11,36.5,700
510,1996-03-12,36.0,4300
511,1996-03-13,37.5,45300
512,1996-03-14,37.0,10275
513,1996-03-15,37.0,4725
514,1996-03-18,37.0,8925
515,1996-03-19,37.0,4800
516,1996-03-20,37.0,11250
517,1996-03-21,37.0,5750
518,1996-03-22,36.0,2600
519,1996-03-25,38.5,2850
520,1996-03-26,38.5,2125
521,1996-03-27,39.0,5125
522,1996-03-28,38.5,325
523,1996-03-29,36.0,12800
524,1996-04-01,36.0,1325
525,1996-04-02,37.75,14625
526,1996-04-03,37.5,3900
527,1996-04-04,36.0,2200
528,1996-04-08,37.75,900
529,1996-04-09,36.0,5400
530,1996-04-10,36.25,3950
531,1996-04-11,36.0,1950
532,1996-04-12,37.75,7250
533,1996-04-15,36.0,3000
534,1996-04-16,37.75,4200
535,1996-04-17,37.75,10050
536,1996-04-18,37.75,5375
537,1996-04-19,37.75,9175
538,1996-04-22,37.75,7100
539,1996-04-23,37.75,2075
540,1996-04-24,37.75,3300
541,1996-04-25,37.75,4425
542,1996-04-26,37.75,6975
543,1996-04-29,37.75,3350
544,1996-04-30,37.75,3850
545,1996-05-01,37.75,950
546,1996-05-02,36.25,2175
