,Date,Adj Close,Volume
251,1988-07-26,4.875,0
252,1988-07-27,4.75,1400
253,1988-07-28,4.75,1000
254,1988-07-29,4.75,0
255,1988-08-01,4.8125,2200
256,1988-08-02,4.75,2800
257,1988-08-03,4.8125,2000
258,1988-08-04,4.8125,1000
259,1988-08-05,4.6875,1800
260,1988-08-08,4.75,1200
261,1988-08-09,4.6875,3800
262,1988-08-10,4.5,2000
263,1988-08-11,4.25,6400
264,1988-08-12,4.25,1200
265,1988-08-15,4.1875,2200
266,1988-08-16,4.25,800
267,1988-08-17,4.375,4000
268,1988-08-18,4.5,4200
269,1988-08-19,4.5,1600
270,1988-08-22,4.4375,1800
271,1988-08-23,4.5,2400
272,1988-08-24,4.625,1600
273,1988-08-25,4.5,2800
274,1988-08-26,4.5625,1400
275,1988-08-29,4.5625,0
276,1988-08-30,4.5,2400
277,1988-08-31,4.5,1000
278,1988-09-01,4.5,0
279,1988-09-02,4.75,3600
280,1988-09-06,4.75,0
281,1988-09-07,4.5625,2800
282,1988-09-08,4.625,2600
283,1988-09-09,4.6875,3000
284,1988-09-12,4.6875,0
285,1988-09-13,4.5625,1200
286,1988-09-14,4.5,600
287,1988-09-15,4.625,9200
288,1988-09-16,4.625,0
289,1988-09-19,4.5,5600
290,1988-09-20,4.5,1400
291,1988-09-21,4.5,1200
292,1988-09-22,4.5,0
293,1988-09-23,4.625,2400
294,1988-09-26,4.5625,2000
295,1988-09-27,4.625,1600
296,1988-09-28,4.5625,2000
297,1988-09-29,4.5625,0
298,1988-09-30,4.5625,6000
299,1988-10-03,4.625,2200
300,1988-10-04,4.5,4200
301,1988-10-05,4.5,2200
302,1988-10-06,4.5625,1200
303,1988-10-07,4.5,1800
304,1988-10-10,4.5625,600
305,1988-10-11,4.5625,0
306,1988-10-12,4.5,200
307,1988-10-13,4.4375,400
308,1988-10-14,4.4375,0
309,1988-10-17,4.4375,0
310,1988-10-18,4.5,2200
311,1988-10-19,4.4375,200
312,1988-10-20,4.625,10000
313,1988-10-21,4.5625,1000
314,1988-10-24,4.5625,6200
315,1988-10-25,4.5,3000
316,1988-10-26,4.625,2200
317,1988-10-27,4.5625,600
318,1988-10-28,4.5,4000
319,1988-10-31,4.5,0
320,1988-11-01,4.625,1400
321,1988-11-02,4.625,0
322,1988-11-03,4.5625,1200
323,1988-11-04,4.4375,4600
324,1988-11-07,4.4375,400
325,1988-11-08,4.5,600
326,1988-11-09,4.3125,5000
327,1988-11-10,4.3125,4000
328,1988-11-11,4.375,4200
329,1988-11-14,4.3125,1000
330,1988-11-15,4.3125,0
331,1988-11-16,4.1875,3000
332,1988-11-17,4.1875,600
333,1988-11-18,4.0625,3600
334,1988-11-21,4.0,1400
335,1988-11-22,4.0,0
336,1988-11-23,4.0,0
337,1988-11-25,4.0625,200
338,1988-11-28,4.125,4600
339,1988-11-29,4.1875,800
340,1988-11-30,4.125,2800
341,1988-12-01,4.125,1000
342,1988-12-02,4.0625,1000
343,1988-12-05,4.125,200
344,1988-12-06,4.0,1400
345,1988-12-07,4.3125,4200
346,1988-12-08,4.3125,5800
347,1988-12-09,4.4375,2000
348,1988-12-12,4.5625,4800
349,1988-12-13,4.5,4400
350,1988-12-14,4.625,9600
351,1988-12-15,4.8125,11800
352,1988-12-16,4.875,3800
353,1988-12-19,4.875,800
354,1988-12-20,4.9375,12000
